Name,Description,Cost,Images
Gold Kundan Blue Bead Earring Necklace Set,This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring,1750,https://img.faballey.com/images/Product/ZNS00041/d3.jpg;https://img.faballey.com/images/Product/ZNS00041/d4.jpg;https://img.faballey.com/images/Product/ZNS00041/d5.jpg;https://img.faballey.com/images/Product/ZNS00041/d6.jpg;
Gold Kundan Tukdi Earring Necklace Set,Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing; topped with white drop pearls.,2500,https://img.faballey.com/images/Product/ZNS00007/d3.jpg;https://img.faballey.com/images/Product/ZNS00007/d4.jpg;https://img.faballey.com/images/Product/ZNS00007/d5.jpg;https://img.faballey.com/images/Product/ZNS00007/d6.jpg;
Gold Kundan Pear Dainty Drop Earrings Necklace Set,For all those who shy away from statement pieces; this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings.,1750,https://img.faballey.com/images/Product/ZNS00046/d3.jpg;https://img.faballey.com/images/Product/ZNS00046/d4.jpg;https://img.faballey.com/images/Product/ZNS00046/d5.jpg;https://img.faballey.com/images/Product/ZNS00046/d6.jpg;
Gold Red Kundan Bead Earring Necklace Set,If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings,1600,https://img.faballey.com/images/Product/ZNS00003/d3.jpg;https://img.faballey.com/images/Product/ZNS00003/d4.jpg;https://img.faballey.com/images/Product/ZNS00003/d5.jpg;https://img.faballey.com/images/Product/ZNS00003/d6.jpg;
Gold Kundan Mangtika Earring Necklace Set,Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka.,3500,https://img.faballey.com/images/Product/ZNS00002/d3.jpg;https://img.faballey.com/images/Product/ZNS00002/d4.jpg;https://img.faballey.com/images/Product/ZNS00002/d5.jpg;https://img.faballey.com/images/Product/ZNS00002/d6.jpg;https://img.faballey.com/images/Product/ZNS00002/d7.jpg;
Gold Round Kundan Pearl Earring Necklace Set,Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings,1750,https://img.faballey.com/images/Product/ZNS00035/d3.jpg;https://img.faballey.com/images/Product/ZNS00035/d4.jpg;https://img.faballey.com/images/Product/ZNS00035/d5.jpg;https://img.faballey.com/images/Product/ZNS00035/d6.jpg;
White Blue Diamond Earring Pendant Necklace Set,Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone.,2625,https://img.faballey.com/images/Product/ZNS00011/d3.jpg;https://img.faballey.com/images/Product/ZNS00011/d4.jpg;https://img.faballey.com/images/Product/ZNS00011/d5.jpg;https://img.faballey.com/images/Product/ZNS00011/d6.jpg;
Gold Kundan Green Bead String Earring Necklace Set,Classic and timeless; this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads.,2000,https://img.faballey.com/images/Product/ZNS00049/d3.jpg;https://img.faballey.com/images/Product/ZNS00049/d4.jpg;https://img.faballey.com/images/Product/ZNS00049/d5.jpg;https://img.faballey.com/images/Product/ZNS00049/d6.jpg;
Gold Kundan Multicolor Stone Earring Necklace Set,Classic and timeless; this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads.,2000,https://img.faballey.com/images/Product/ZNS00053/d3.jpg;https://img.faballey.com/images/Product/ZNS00053/d4.jpg;https://img.faballey.com/images/Product/ZNS00053/d5.jpg;https://img.faballey.com/images/Product/ZNS00053/d6.jpg;
Gold Maroon Kundan Floral Necklace Set,Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings.,2250,https://img.faballey.com/images/Product/ZNS00058/d3.jpg;https://img.faballey.com/images/Product/ZNS00058/d4.jpg;https://img.faballey.com/images/Product/ZNS00058/d5.jpg;https://img.faballey.com/images/Product/ZNS00058/d6.jpg;
Rose Gold Plated Crystal Necklace Set,Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish.,2450,https://img.faballey.com/images/Product/ZNS00064/d3.jpg;https://img.faballey.com/images/Product/ZNS00064/d4.jpg;https://img.faballey.com/images/Product/ZNS00064/d5.jpg;https://img.faballey.com/images/Product/ZNS00064/d6.jpg;
Gold Green Kundan Floral Pendant Necklace Set,Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan; green beads and small crystals.,2100,https://img.faballey.com/images/Product/ZNS00063/d3.jpg;https://img.faballey.com/images/Product/ZNS00063/d4.jpg;https://img.faballey.com/images/Product/ZNS00063/d5.jpg;https://img.faballey.com/images/Product/ZNS00063/d6.jpg;https://img.faballey.com/images/Product/ZNS00063/d7.jpg;
Gold Kundan Multi Pearl String Earring Necklace Set,A beautiful amalgamation of kundan and yellow pearls; this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan,2000,https://img.faballey.com/images/Product/ZNS00048/d3.jpg;https://img.faballey.com/images/Product/ZNS00048/d4.jpg;https://img.faballey.com/images/Product/ZNS00048/d5.jpg;https://img.faballey.com/images/Product/ZNS00048/d6.jpg;
Gold Kundan Cascade Earring Necklace Set,Glam up this festive season with this stunning; double layered kundan set. Features a double layered kundan necklace with pearl drop beads and matching earrings,2250,https://img.faballey.com/images/Product/ZNS00039/d3.jpg;https://img.faballey.com/images/Product/ZNS00039/d4.jpg;https://img.faballey.com/images/Product/ZNS00039/d5.jpg;https://img.faballey.com/images/Product/ZNS00039/d6.jpg;
Green Bead Kundan Earring Necklace Set,Add a dash of color to your evening look with this green beaded kundan set. Features a necklace crafted of two strings of green beads and kundan drops along with matching earrings,1750,https://img.faballey.com/images/Product/ZNS00043/d3.jpg;https://img.faballey.com/images/Product/ZNS00043/d4.jpg;https://img.faballey.com/images/Product/ZNS00043/d5.jpg;https://img.faballey.com/images/Product/ZNS00043/d6.jpg;
White Diamond Aqua Drop Earring Necklace Set,Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings; this set is equal parts sizzling siren and sophisticated.,2450,https://img.faballey.com/images/Product/ZNS00013/d3.jpg;https://img.faballey.com/images/Product/ZNS00013/d4.jpg;https://img.faballey.com/images/Product/ZNS00013/d5.jpg;https://img.faballey.com/images/Product/ZNS00013/d6.jpg;
Gold Leaf Kundan Double Pearl Earrings Necklace Set,For all those who shy away from statement pieces; this set is the perfect pick. Features a kundan studded choker with white pearls on either side; and stud earrings,1750,https://img.faballey.com/images/Product/ZNS00045/d3.jpg;https://img.faballey.com/images/Product/ZNS00045/d4.jpg;https://img.faballey.com/images/Product/ZNS00045/d5.jpg;https://img.faballey.com/images/Product/ZNS00045/d6.jpg;
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,This kundan meena set makes a case for minimal show; maximal style. Features a necklace crafted out of with a single string of kundan stones and red meena; topped with delicate bead drops and matching earrings.,1750,https://img.faballey.com/images/Product/ZNS00057/d3.jpg;https://img.faballey.com/images/Product/ZNS00057/d4.jpg;https://img.faballey.com/images/Product/ZNS00057/d5.jpg;https://img.faballey.com/images/Product/ZNS00057/d6.jpg;
Gold Kundan Single Orb Earring Necklace Set,Minimal; classy and evergreen; this kundan set features a sleek single kundan studded string and matching drop earrings,2900,https://img.faballey.com/images/Product/ZNS00010/d3.jpg;https://img.faballey.com/images/Product/ZNS00010/d4.jpg;https://img.faballey.com/images/Product/ZNS00010/d5.jpg;https://img.faballey.com/images/Product/ZNS00010/d6.jpg;
Gold Kundan Pearl Drop Earring Necklace Set,Accentuated with pearl drops and red meenakari work; this kundan set is a festive must-have. Features a kundan studded neckpiece and earrings,1750,https://img.faballey.com/images/Product/ZNS00040/d3.jpg;https://img.faballey.com/images/Product/ZNS00040/d4.jpg;https://img.faballey.com/images/Product/ZNS00040/d5.jpg;https://img.faballey.com/images/Product/ZNS00040/d6.jpg;
Green Enamal Kundan Petal Earring Necklace Set,Eclectic and enchanting; this piece is on top of our wishlist. Features petal shaped kundan with green and red enamel accentuated with green stones.,1750,https://img.faballey.com/images/Product/ZNS00024/d3.jpg;https://img.faballey.com/images/Product/ZNS00024/d4.jpg;https://img.faballey.com/images/Product/ZNS00024/d5.jpg;https://img.faballey.com/images/Product/ZNS00024/d6.jpg;
Gold Kundan Pearl Drop Earring Necklace Set,If you love kundan but want to keep it simple and classy this should be your pick! Features a gold plated white kundan necklace with a single pearl drop bead in the centre along with dangler earrings,2375,https://img.faballey.com/images/Product/ZNS00017/d3.jpg;https://img.faballey.com/images/Product/ZNS00017/d4.jpg;https://img.faballey.com/images/Product/ZNS00017/d5.jpg;https://img.faballey.com/images/Product/ZNS00017/d6.jpg;
Gold Kundan Red White Bead Earrimg Necklace Set,This red and white kundan set steals the show for its traditional opulence and modern elegance. Features a necklace and earrings made of pearls; red beads and kundan.,1750,https://img.faballey.com/images/Product/ZNS00036/d3.jpg;https://img.faballey.com/images/Product/ZNS00036/d4.jpg;https://img.faballey.com/images/Product/ZNS00036/d5.jpg;https://img.faballey.com/images/Product/ZNS00036/d6.jpg;
Dual Toned Oxidized Triangular Earrings Necklace Set,This dual toned triangular statement oxidised set will instantly elevate your look. Featuring a distinctive triangular drop design necklace with hints of blue on a gold and silver form along with stud earrings; this set will pull your look together in a jiffy.,1900,https://img.faballey.com/images/Product/ZNS00020/d3.jpg;https://img.faballey.com/images/Product/ZNS00020/d4.jpg;https://img.faballey.com/images/Product/ZNS00020/d5.jpg;https://img.faballey.com/images/Product/ZNS00020/d6.jpg;https://img.faballey.com/images/Product/ZNS00020/d8.jpg;
Gold Bead Cluster Earring Neckace Set,Dive into the festivities with this classic necklace set that spells tradition. Clusters of white beads are crafted together beautifully to form this delightful necklace set.,1800,https://img.faballey.com/images/Product/ZNS00034/d3.jpg;https://img.faballey.com/images/Product/ZNS00034/d4.jpg;https://img.faballey.com/images/Product/ZNS00034/d5.jpg;https://img.faballey.com/images/Product/ZNS00034/d6.jpg;
White Blue Diamond Drop String Earring Necklace Set,Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds.,2875,https://img.faballey.com/images/Product/ZNS00031/d3.jpg;https://img.faballey.com/images/Product/ZNS00031/d4.jpg;https://img.faballey.com/images/Product/ZNS00031/d5.jpg;https://img.faballey.com/images/Product/ZNS00031/d6.jpg;
Gold Kundan Green Drop Double Orb Earring Necklace Set,Glam up this festive season with this stunning; double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings,2250,https://img.faballey.com/images/Product/ZNS00038/d3.jpg;https://img.faballey.com/images/Product/ZNS00038/d4.jpg;https://img.faballey.com/images/Product/ZNS00038/d5.jpg;https://img.faballey.com/images/Product/ZNS00038/d6.jpg;
Gold Orb Kundan Double Pearl Earrings Necklace Set,For all those who shy away from statement pieces; this set is the perfect pick. Features a kundan studded choker with white pearls on either side; and stud earrings,1750,https://img.faballey.com/images/Product/ZNS00051/d3.jpg;https://img.faballey.com/images/Product/ZNS00051/d4.jpg;https://img.faballey.com/images/Product/ZNS00051/d5.jpg;https://img.faballey.com/images/Product/ZNS00051/d6.jpg;
Gold Kundan Pearl Earring Necklace Set,Be it for a day wedding or a night soiree; this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings.,2375,https://img.faballey.com/images/Product/ZNS00044/d3.jpg;https://img.faballey.com/images/Product/ZNS00044/d4.jpg;https://img.faballey.com/images/Product/ZNS00044/d5.jpg;https://img.faballey.com/images/Product/ZNS00044/d6.jpg;
Blue Bead Kundan Earring Necklace Set,Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings,1750,https://img.faballey.com/images/Product/ZNS00050/d3.jpg;https://img.faballey.com/images/Product/ZNS00050/d4.jpg;https://img.faballey.com/images/Product/ZNS00050/d5.jpg;https://img.faballey.com/images/Product/ZNS00050/d6.jpg;
Gold Kundan Dual Pearl Earring Necklace Set,Elegance takes form in this stunning kundan and pearl necklace set. Features a necklace crafted from strands of minute pearls; kundan stones and pearl drops; along with matching earrings,2000,https://img.faballey.com/images/Product/ZNS00052/d3.jpg;https://img.faballey.com/images/Product/ZNS00052/d4.jpg;https://img.faballey.com/images/Product/ZNS00052/d5.jpg;https://img.faballey.com/images/Product/ZNS00052/d6.jpg;
Dual Gold Kundan Green Bead Earring Necklace Set,Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters.,1750,https://img.faballey.com/images/Product/ZNS00055/d3.jpg;https://img.faballey.com/images/Product/ZNS00055/d4.jpg;https://img.faballey.com/images/Product/ZNS00055/d5.jpg;https://img.faballey.com/images/Product/ZNS00055/d6.jpg;
Gold Kundan Blue Bead Pearl Earring Necklace Set,Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls; blue beads and classic kundan along with dainty stud earrings,1750,https://img.faballey.com/images/Product/ZNS00042/d3.jpg;https://img.faballey.com/images/Product/ZNS00042/d4.jpg;https://img.faballey.com/images/Product/ZNS00042/d5.jpg;https://img.faballey.com/images/Product/ZNS00042/d6.jpg;
Gold Kundan Red Drop Meena Earring Necklace Set,A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads,2250,https://img.faballey.com/images/Product/ZNS00054/d3.jpg;https://img.faballey.com/images/Product/ZNS00054/d4.jpg;https://img.faballey.com/images/Product/ZNS00054/d5.jpg;https://img.faballey.com/images/Product/ZNS00054/d6.jpg;
Gold Kundan Earring Pearl String Pendant Necklace Set,Your search for the perfect rani haar ends here. Features a long necklace made of a statement kundan pendant and pearl beaded strings; and kundan earrings.,1500,https://img.faballey.com/images/Product/ZNS00008/d3.jpg;https://img.faballey.com/images/Product/ZNS00008/d4.jpg;https://img.faballey.com/images/Product/ZNS00008/d5.jpg;https://img.faballey.com/images/Product/ZNS00008/d6.jpg;
Gold Kundan Green Drop Pearl Earring Necklace Set,Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls; kundan and delicate green beads along with matching earrings.,1750,https://img.faballey.com/images/Product/ZNS00047/d3.jpg;https://img.faballey.com/images/Product/ZNS00047/d4.jpg;https://img.faballey.com/images/Product/ZNS00047/d5.jpg;https://img.faballey.com/images/Product/ZNS00047/d6.jpg;
Dual Gold Kundan Pearl Earring Necklace Set,Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan; finished off with white pearl drops.,2000,https://img.faballey.com/images/Product/ZNS00056/d3.jpg;https://img.faballey.com/images/Product/ZNS00056/d4.jpg;https://img.faballey.com/images/Product/ZNS00056/d5.jpg;https://img.faballey.com/images/Product/ZNS00056/d6.jpg;
Silver Oxidized Green Stone Star Earring Necklace Set,Eclectic and bold; this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings.,1750,https://img.faballey.com/images/Product/ZNS00021/d3.jpg;https://img.faballey.com/images/Product/ZNS00021/d4.jpg;https://img.faballey.com/images/Product/ZNS00021/d5.jpg;https://img.faballey.com/images/Product/ZNS00021/d6.jpg;https://img.faballey.com/images/Product/ZNS00021/d8.jpg;
Gold Textured Contemporary Choker Necklace Set,Uplift your everyday neutrals with a simple addition of this gold-plated necklace set. It features a textured statement choker necklace with a pair of dangler earrings.,1100,https://img.faballey.com/images/Product/ZNS00070/d3.jpg;https://img.faballey.com/images/Product/ZNS00070/d4.jpg;https://img.faballey.com/images/Product/ZNS00070/d5.jpg;https://img.faballey.com/images/Product/ZNS00070/d6.jpg;
Gold Kundan Aqua Stone Floral Pendant Necklace Set,Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant; crafted with a long aqua blue stone and a kundan encrusted floral motif; comes with kundan floral stud earrings.,1475,https://img.faballey.com/images/Product/ZNS00062/d3.jpg;https://img.faballey.com/images/Product/ZNS00062/d4.jpg;https://img.faballey.com/images/Product/ZNS00062/d5.jpg;https://img.faballey.com/images/Product/ZNS00062/d6.jpg;https://img.faballey.com/images/Product/ZNS00062/d7.jpg;
Gold Green Kundan Bead Drop Earring Necklace Set,Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings,3750,https://img.faballey.com/images/Product/ZNS00018/d3.jpg;https://img.faballey.com/images/Product/ZNS00018/d4.jpg;https://img.faballey.com/images/Product/ZNS00018/d5.jpg;https://img.faballey.com/images/Product/ZNS00018/d6.jpg;
White Diamond Floral Bunch Earring Necklace Set,A delicately detailed diamond set is a evening wear must-have. This diamond earring necklace set features a floral focal pendant.,2750,https://img.faballey.com/images/Product/ZNS00032/d3.jpg;https://img.faballey.com/images/Product/ZNS00032/d4.jpg;https://img.faballey.com/images/Product/ZNS00032/d5.jpg;https://img.faballey.com/images/Product/ZNS00032/d6.jpg;https://img.faballey.com/images/Product/ZNS00032/d7.jpg;
